date,post_count,post_1_type,post_1_time,post_1_bg_keywords,post_1_bg_file_id,post_2_type,post_2_time,post_2_bg_keywords,post_2_bg_file_id,post_3_type,post_3_time,post_3_bg_keywords,post_3_bg_file_id
2026-07-17,2,quick_psychological_fact,09:00,"minimalist abstract gradient, soft pastel",,infographic_fact,20:00,"geometric shapes, professional blue tones",,,,,
2026-07-18,1,quick_psychological_fact,18:00,"serene nature, soft focus light",,,,,,,,,
2026-07-19,2,quick_psychological_fact,10:00,warm sunset textures,,interactive_poll,21:00,bold contrast abstract,,,,,
2026-07-20,1,quick_psychological_fact,19:00,"calm ocean waves, monochrome",,,,,,,,,
2026-07-21,2,quick_psychological_fact,08:30,clean aesthetic white space,,quick_psychological_fact,20:30,dark moody blurred background,,,,,
2026-07-22,1,quick_psychological_fact,19:30,"ethereal clouds, soft purple",,,,,,,,,
2026-07-23,2,quick_psychological_fact,09:00,modern office desk top view,,infographic_fact,20:00,"minimal lines, geometric grid",,,,,
2026-07-24,1,quick_psychological_fact,18:00,"abstract fluid art, gold accents",,,,,,,,,
2026-07-25,2,quick_psychological_fact,11:00,sunlight through leaves,,interactive_poll,21:00,neon glow dark background,,,,,
2026-07-26,1,quick_psychological_fact,19:00,calm sandy textures,,,,,,,,,
2026-07-27,2,quick_psychological_fact,09:00,deep navy solid color,,quick_psychological_fact,20:00,vibrant orange gradient,,,,,
2026-07-28,1,quick_psychological_fact,18:00,soft bokeh lights,,,,,,,,,
2026-07-29,2,quick_psychological_fact,10:00,minimal grey architecture,,infographic_fact,20:00,data visualization aesthetic,,,,,
2026-07-30,1,quick_psychological_fact,19:00,mountain silhouette at twilight,,,,,,,,,
2026-07-31,2,quick_psychological_fact,08:30,bright morning studio light,,interactive_poll,20:30,dynamic abstract motion,,,,,
2026-08-01,1,quick_psychological_fact,18:00,calm forest mist,,,,,,,,,
2026-08-02,2,quick_psychological_fact,11:00,soft cotton texture,,quick_psychological_fact,21:00,dark space stars,,,,,
2026-08-03,1,quick_psychological_fact,19:00,simple pencil sketch texture,,,,,,,,,
2026-08-04,2,quick_psychological_fact,09:00,water ripples reflection,,infographic_fact,20:00,clean infographic layout,,,,,
2026-08-05,1,quick_psychological_fact,18:00,paper texture beige,,,,,,,,,
2026-08-06,2,quick_psychological_fact,10:00,urban light trails,,interactive_poll,20:00,bold typography background,,,,,
2026-08-07,1,quick_psychological_fact,19:00,soft fabric folds,,,,,,,,,
2026-08-08,2,quick_psychological_fact,09:00,geometric abstract line art,,quick_psychological_fact,20:00,warm copper glow,,,,,
2026-08-09,1,quick_psychological_fact,18:00,dusk horizon,,,,,,,,,
2026-08-10,2,quick_psychological_fact,11:00,minimal green leaves,,infographic_fact,20:00,professional layout blue,,,,,
2026-08-11,1,quick_psychological_fact,19:00,cloudy sky pastel,,,,,,,,,
2026-08-12,2,quick_psychological_fact,09:00,dark marble stone,,interactive_poll,21:00,bright contrast abstract,,,,,
2026-08-13,1,quick_psychological_fact,18:00,soft focus garden,,,,,,,,,
2026-08-14,2,quick_psychological_fact,10:00,abstract oil paint,,quick_psychological_fact,20:00,solid dark emerald,,,,,
2026-08-15,1,quick_psychological_fact,19:00,serene water calm,,,,,,,,,
