date,post_count,post_1_type,post_1_time,post_1_bg_keywords,post_1_bg_file_id,post_2_type,post_2_time,post_2_bg_keywords,post_2_bg_file_id,post_3_type,post_3_time,post_3_bg_keywords,post_3_bg_file_id
2024-05-20,1,quick_psychological_fact,18:00,"minimalist aesthetic, soft gradients, calm blue tones",,,,,,,,,
2024-05-21,1,psychological_tip,09:00,"bright abstract, clean lines, energizing yellow white",,,,,,,,,
2024-05-22,2,fact_carousel,12:00,"geometric patterns, muted earth tones, professional",,interactive_story,20:00,"dark moody background, subtle light rays",,,,,
2024-05-23,1,quick_psychological_fact,19:00,"serene water ripples, pastel abstract background",,,,,,,,,
2024-05-24,1,saveable_list,10:00,"structured minimalist, soft grey white contrast",,,,,,,,,
2024-05-25,1,quick_psychological_fact,20:00,"warm sunset gradient, soft blur",,,,,,,,,
2024-05-26,2,myth_vs_fact,11:00,"split screen, contrast colors, bold modern",,quick_psychological_fact,21:00,"deep purple aesthetic, glowing neon abstract",,,,,
2024-05-27,1,quick_psychological_fact,18:30,"peaceful clouds, airy light blue",,,,,,,,,
2024-05-28,1,saveable_list,09:30,"clean marble texture, minimalist luxury",,,,,,,,,
2024-05-29,1,quick_psychological_fact,19:00,"fluid paint texture, pastel pink purple",,,,,,,,,
2024-05-30,2,fact_carousel,12:00,"gradient mesh, modern tech aesthetic",,quick_psychological_fact,20:00,"bokeh lights, warm gold aesthetic",,,,,
2024-05-31,1,psychological_tip,10:00,"fresh green, nature inspired abstract",,,,,,,,,
2024-06-01,1,quick_psychological_fact,21:00,"night sky, ethereal glow",,,,,,,,,
2024-06-02,1,saveable_list,17:00,"minimal paper texture, monochrome",,,,,,,,,
2024-06-03,2,quick_psychological_fact,09:00,"bright morning light, clear sky blue",,interactive_story,19:00,"blurred city lights, dark aesthetic",,,,,
2024-06-04,1,quick_psychological_fact,18:00,"sand dunes, warm earthy tones",,,,,,,,,
2024-06-05,1,saveable_list,10:00,"geometric lines, coral and white",,,,,,,,,
2024-06-06,1,quick_psychological_fact,20:00,"indigo gradient, cosmic mystery",,,,,,,,,
2024-06-07,2,myth_vs_fact,13:00,"two-tone split, bold contrast",,quick_psychological_fact,21:00,"soft focus, teal and gold",,,,,
2024-06-08,1,quick_psychological_fact,18:30,"watercolor splash, soft pastels",,,,,,,,,
2024-06-09,1,saveable_list,09:00,"clean slate, professional grey",,,,,,,,,
2024-06-10,1,quick_psychological_fact,19:30,"motion blur, vibrant streaks",,,,,,,,,
2024-06-11,2,fact_carousel,12:00,"layered geometric, sophisticated palette",,quick_psychological_fact,20:00,"dark moody, minimalist spotlight",,,,,
2024-06-12,1,psychological_tip,10:00,"serene garden, soft green sunlight",,,,,,,,,
2024-06-13,1,quick_psychological_fact,19:00,"cosmic nebula, purple and orange",,,,,,,,,
2024-06-14,1,saveable_list,18:00,"minimalist, white and beige luxury",,,,,,,,,
2024-06-15,2,quick_psychological_fact,11:00,"bubbly abstract, bright joyful colors",,interactive_story,21:00,"dusk, purple haze aesthetic",,,,,
2024-06-16,1,quick_psychological_fact,19:00,"serene water, calm cyan",,,,,,,,,
2024-06-17,1,saveable_list,09:30,"structured, grid lines, charcoal and white",,,,,,,,,
2024-06-18,1,quick_psychological_fact,20:00,"abstract smoke, soft rainbow gradient",,,,,,,,,
